Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,Assists,xG Assisted,Key Passes,OP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,Pressures,PAdj Pressures,Counterpressures,Counterpress Regains,OP Passes,Passing%,Long Ball%,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Stanislav Iljutcenko,Seoul,K League 1,2762,Centre Forward,34,0.42,0.37,0.18,2.09,20,44,3,100,0.13,0.07,1.11,1.11,0.55,0.44,3.19,0.59,0.26,1.21,0.25,0.77,18.18,7.82,0.03,2.61,2.61,4.59,1.65,1.91,56,45,15.51,17.4,3.19,0.29,22.32,71,53,1.56,0.5,0.68,16.23,81,3.16,7.89,0.42,0.42,0,0.33,6.26,6.68,0.03,8,0.07,50,0.81,18,-0.05,-0.01,0.04,0.08,,0.05
Stefan Mugoša,Incheon United,K League 1,3101,Centre Forward,32,0.32,0.26,0.09,2.79,11,34,6,100,0.03,0.07,0.67,0.67,0.35,0.33,3.45,0.93,0.41,0.99,0.16,0.46,11.46,5.22,0.01,1.51,2.12,3.48,0.46,0.62,43,44,10.68,10.11,2.23,0.35,16.46,66,53,0.87,0.39,0.55,12.83,81,3.49,4.06,0.49,0.49,0,0.29,5.63,6.12,0.03,6,0.06,25,0.38,21,0.01,-0.01,0.01,0.05,,0.06
Tiago Orobó,Jeonbuk Motors,K League 1,2054,Centre Forward,31,0.26,0.26,0.12,2.19,12,32,4,0,0,0.09,0.7,0.7,0.26,0.36,2.89,1.1,0.57,1.01,0.16,0.92,18.09,8.94,0.01,2.1,2.23,3.68,0.58,0.74,36,48,16.04,14.55,2.94,0.18,17.31,67,65,1.31,0.41,0.54,13.93,73,4.74,5.65,0.44,0.44,0,0.53,6.88,7.32,0.13,20,0.13,38,0.92,13,-0.04,-0.04,0.02,-0.09,,-0.15
Yago Cariello Ribeiro,Ulsan,K League 1,640,Centre Forward,25,0.42,0.42,0.1,4.22,10,43,9,,0.14,0.05,0.56,0.56,0.56,0.48,4.78,0.84,0.42,2.39,0.54,0.84,17.71,7.73,0,3.09,2.25,3.51,1.49,2.03,100,49,14.34,14.87,2.11,0.14,15.46,75,75,1.26,0.33,0.61,17.99,73,4.63,4.22,0.56,0.56,0,0.14,7.03,7.59,0,0,0,,0.42,15,-0.06,-0.01,0.02,0.09,,0.04
Yu Kang-Hyun,Sangju Sangmu,K League 1,1302,Centre Forward,28,0.21,0.29,0.12,2.42,9,31,5,100,0.07,0.04,0.62,0.62,0.28,0.32,3.04,1.45,0.48,1.66,0.11,0.31,21.5,9.19,0.01,3.94,2.9,4.15,0.74,0.85,29,36,19.22,19.17,4.29,0.55,19.49,66,79,2.07,0.38,0.56,18.46,70,4.36,6.5,0.28,0.28,0,0.28,6.98,7.26,0.14,0,0,0,0.69,15,-0.1,-0.02,0.01,-0.04,,-0.15
Yuri Jonathan Vitor Coelho,Jeju United FC,K League 1,2193,Centre Forward,26,0.08,0.28,0.09,3.08,3,36,5,100,0.08,0.08,1.07,1.07,0.16,0.35,4.15,0.78,0.25,1.48,0.34,0.87,19,7.92,0.02,3.37,3.65,5.46,0.49,0.83,50,59,16.34,13.9,2.96,0.41,24.46,71,66,1.89,0.41,0.54,16.87,77,4.35,8.41,0.62,0.57,0.04,0.66,8.54,9.11,0.04,27,0.29,58,1.15,16,-0.04,0.02,0.04,-0.01,,0.01
Ahn Joon-Soo,Suwon FC,K League 1,3316,Goalkeeper,26,0,0,,0,,,0,,0,0,0.03,0,0,0,0.03,0,0,0,0,0.04,0.11,0.05,0,5.78,0,3.56,0,0,,,0.08,0.09,0,0,16.69,69,47,1.19,0.14,0.14,13.14,100,5.54,0.6,0.05,0,0.05,0,0,0,0,0,0,,0,48,0.11,0.05,-0.02,,-0.12,0.03
Baek Jong-Bum,Seoul,K League 1,1637,Goalkeeper,23,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.16,0,5.5,0,3.02,0.09,0.09,100,,0.05,0.08,0,0,15.23,72,46,0.6,0.16,0.16,10.39,100,4.38,0.27,0,0,0,0,0,0,0,,0,,0,47,0.06,0.04,-0.03,,-0.09,-0.02
Choe Cheol-Won,Seoul,K League 1,818,Goalkeeper,30,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,6.38,0,4.18,0,0,,,0,0,0,0,15.62,73,38,0.33,0.15,0.15,10.45,100,4.15,0.11,0,0,0,0,0,0,0,,0,,0,46,0.05,0.03,0,,-0.28,-0.2
Choi Young-Eun,Daegu,K League 1,1163,Goalkeeper,29,0,0,,0,,,0,,0,0,0.08,0.08,0,0,0.08,0,0,0,0,0,0.15,0.08,0,7.58,0,3.71,0,0,,,0.15,0.11,0,0,15.4,59,39,0.77,0.15,0.15,10.99,100,4.39,0.08,0,0,0,0,0,0,0,,0,,0,59,0.12,0.04,,,-0.35,-0.19
