Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,Assists,xG Assisted,Key Passes,OP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,Pressures,PAdj Pressures,Counterpressures,Counterpress Regains,OP Passes,Passing%,Long Ball%,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Nejc Gradišar,Fehervar,NB I,987,Centre Forward,22,0.27,0.26,0.18,1.46,19,63,3,,0.18,0.08,1,1,0.46,0.34,2.46,0.55,0.18,0.82,0.09,0.64,17.06,8.76,0.01,2.92,2.01,2.83,0.31,0.4,25,55,15.96,13.86,3.01,0.18,18.61,70,56,0.73,0.29,0.49,13.59,81,4.17,5.56,0.27,0.27,0,0.36,5.38,5.65,0,33,0.09,33,0.73,11,-0.08,-0.05,0.02,0.08,,-0.03
Balázs Megyeri,Debrecen,NB I,898,Goalkeeper,35,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0,8.82,0,5.21,0,0,0,,0.3,0.33,0,0,25.75,72,47,1.2,0.12,0.12,17.54,99,5.57,0.6,0,0,0,0,0,0,0.1,,0,,0,46,0.14,0.05,,,-0.11,0.08
Balázs Tóth,Nyíregyháza Spartacus,NB I,678,Goalkeeper,21,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.53,0,6.63,0,4.78,0,0,50,,0.27,0.14,0,0,17.64,70,45,0.53,0.12,0.12,12.47,100,4.89,0.4,0,0,0,0,0,0,0,,0,,0,53,0.12,0.06,,,0.01,0.18
Bence Gundel-Takács,Zalaegerszegi TE,NB I,972,Goalkeeper,27,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0.09,0,0,0.09,0,0,7.13,0,4.63,0,0,,,0.09,0.06,0,0,17.51,53,37,1.3,0.18,0.18,11.67,98,4.72,0.93,0,0,0,0,0,0,0,,0,,0,66,0.14,0.07,,,-0.2,0.01
Bence Varga,Kecskeméti TE,NB I,668,Goalkeeper,29,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0,7.81,0,3.91,0,0,,,0,0,0,0,21.83,64,40,0.94,0.07,0.07,15.23,100,5.23,0.54,0,0,0,0,0,0,0,,0,,0,62,0.14,0.05,-0.02,,-0.07,0.11
Dénes Dibusz,Ferencvaros,NB I,979,Goalkeeper,34,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,3.58,0,0,,,0,0,0,0,25.64,78,43,0.64,0.2,0.2,18.93,100,3.56,0.28,0,0,0,0,0,0,0.09,,0,,0,41,0.07,0.04,0.01,,-0.03,0.08
Gyurákovics Erik Zoltán,Győri ETO,NB I,695,Goalkeeper,25,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.83,0,5.44,0,0,,,0,0,0,0,18.9,66,47,0.39,0.27,0.27,14.5,100,5.21,0.13,0,0,0,0,0,0,0,,0,,0,53,0.1,0.04,,,-0.12,0.02
Karlo Sentić,Diósgyőr,NB I,697,Goalkeeper,23,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19,0,4.9,0,0,,,0,0,0,0,19.74,58,30,0.39,0.25,0.25,14.84,100,3.76,0.39,0,0,0,0,0,0,0,,0,,0,49,0.09,0.05,,,0.06,0.19
Martin Dala,Fehervar,NB I,589,Goalkeeper,21,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0.11,0.31,0.31,0,5.81,0,4.13,0.07,0.07,50,,0.15,0.11,0,0,18.95,69,42,0.61,0.15,0.15,13.3,100,4.04,0.46,0,0,0,0,0,0,0,,0,,0,47,0.1,0.04,0.01,,0.01,0.16
Patrik Demjén,MTK,NB I,1166,Goalkeeper,27,0,0,,0,,,0,,0,0.01,0.08,0.08,0,0.01,0.08,0,0,0,0,0.09,0.08,0,0,6.71,0,4.78,0,0,,,0.08,0.12,0,0,28.32,74,48,0.77,0.13,0.14,21.99,100,4.45,0.39,0,0,0,0,0,0,0,,0,,0,42,0.08,0.07,0,,0.05,0.2
