Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,Assists,xG Assisted,Key Passes,OP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,Pressures,PAdj Pressures,Counterpressures,Counterpress Regains,OP Passes,Passing%,Long Ball%,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Archie Davies,Carlisle United,League Two,1007,Full Back,26,0.09,0.04,0.1,0.36,25,50,1,,0.09,0.16,1.25,0.8,0.18,0.2,1.61,1.52,0.8,1.16,0.91,1,15.01,8.49,0.02,3.84,3.22,8.04,1.55,2.46,33,57,12.69,13.81,2.14,0.45,33.33,76,32,3.48,0.36,0.41,32.26,91,4.63,7.68,1.43,0.89,0.54,0.36,1.43,2.32,0,38,0.8,36,0.54,22,0.19,0.08,0.04,0.02,,0.32
Brad Halliday,Bradford City,League Two,1146,Full Back,29,0,0.01,0.04,0.16,0,0,0,,0,0.06,0.86,0.79,0,0.07,1.02,0.16,0,1.02,1.34,2.49,16.88,8.09,0.01,4.16,3.46,10.13,2.31,3.65,47,49,13.9,14.36,2.98,0.24,44.13,74,53,5.34,0.42,0.44,36.28,96,4.68,12.49,0.79,0.71,0.08,0.16,0.71,1.41,0,50,0.39,25,0.16,29,0.13,0.07,0.04,-0.01,,0.23
Brandon Cover,Port Vale,League Two,1021,Full Back,21,0.18,0.07,0.15,0.44,40,40,0,,0,0.06,0.71,0.71,0.18,0.13,1.15,2.03,1.06,0.62,1.28,1.25,21.25,9.79,0.03,4.94,3.26,9.08,3.52,4.8,67,43,16.13,15.79,1.68,0.09,29.71,71,30,2.64,0.49,0.54,28.3,88,4.53,6.97,1.32,1.23,0.09,0.35,1.32,2.56,0.26,40,0.71,57,0.53,29,0.12,0.06,0.03,0.06,,0.26
Carl Robert Johnston,Fleetwood Town,League Two,1343,Full Back,23,0.07,0.04,0.08,0.47,14,57,1,,0.07,0.07,0.87,0.8,0.13,0.1,1.34,0.67,0.27,0.8,0.72,1.87,14.07,7.84,0.02,4.22,3.95,8.85,1.3,2.02,60,48,11.93,9.52,2.08,0.4,32.64,72,43,3.28,0.44,0.51,26.61,94,4.02,9.72,1.47,0.94,0.54,0.34,1.94,2.88,0,23,0.47,33,0.4,32,0.18,0.07,-0.02,0,,0.23
Connor Ellis Barrett,Walsall,League Two,1262,Full Back,23,0,0.05,0.07,0.71,0,40,1,,0.36,0.16,1,1,0.36,0.21,1.71,1.93,0.86,1.57,0.67,1.36,21.11,10.7,0.02,4.07,4.35,8.84,2.26,2.93,45,57,17.19,12.58,3.07,0.29,23.32,59,34,4.21,0.47,0.57,21.82,81,7.74,6.78,1.36,1.21,0.14,0.36,1.78,3,0.07,53,1,36,0.64,38,0.24,0.09,0.03,-0.02,,0.35
Daniel Imray,Bromley,League Two,1049,Full Back,21,0,0.13,0.1,1.29,0,47,2,,0.17,0.32,1.72,1.72,0.17,0.45,3,3.69,2.06,1.63,1.22,1.03,18.97,7.81,0.01,4.98,5.58,9.96,1.72,2.93,43,54,15.62,9.3,2.4,0.17,24.03,59,49,2.58,0.51,0.59,25.75,82,6.9,8.07,1.8,1.72,0.09,0.69,3,4.72,0.09,43,1.46,35,1.03,23,0.31,0.16,0.03,-0.04,,0.46
Jeff King,Swindon Town,League Two,675,Full Back,29,0,0.03,0.04,0.8,0,33,1,,0,0.18,1.87,1.2,0,0.21,2.67,0.8,0.4,0.8,0.77,0.84,17.74,9.6,0.03,4,3.6,8.14,1.9,2.68,65,50,14.4,14.42,3.33,0.4,34.01,70,41,4.4,0.42,0.5,30.54,94,5.07,10.8,2.53,1.2,1.33,0.53,2.13,3.33,0,32,0.93,35,0.53,22,0.08,0.17,0.02,-0.02,,0.25
Josh Neufville,AFC Wimbledon,League Two,1147,Full Back,24,0.16,0.08,0.07,1.1,14,29,2,,0.08,0.09,1.02,1.02,0.24,0.17,2.12,1.33,0.55,1.57,1.5,1.56,15.3,5.41,0.01,2.28,4.63,7.53,1.98,3.48,75,43,12.32,10.34,2.2,0,23.38,72,46,2.35,0.44,0.48,23.46,85,7.37,8.47,1.1,1.02,0.08,0.39,2.28,3.3,0,43,0.94,43,0.55,19,0.08,0.13,0.01,-0.03,,0.18
Lewis Payne,Cheltenham Town,League Two,737,Full Back,21,0,0.03,0.07,0.49,0,25,1,,0.12,0.07,0.85,0.73,0.12,0.1,1.34,2.2,1.34,1.22,1.06,1.55,15.14,8.06,0.05,3.42,5.98,9.89,1.25,2.31,53,44,12.57,10.72,2.93,0.12,30.39,65,42,5.13,0.35,0.46,27.95,92,6.41,8.42,0.61,0.61,0,0.24,1.71,2.32,0,40,0.49,17,0.49,31,0.11,0.1,-0.03,-0.02,,0.16
Mandela Egbo,Colchester United,League Two,869,Full Back,27,0,0.07,0.09,0.83,0,50,1,,0,0.1,1.24,1.14,0,0.18,2.07,0.93,0.62,1.45,1.24,1.93,10.77,5.7,0.03,3.11,2.8,11.4,1.07,2.31,33,52,9.32,9.27,1.86,0.21,33.57,74,50,3.73,0.49,0.57,27.14,91,5.95,7.87,1.14,0.83,0.31,0.41,2.38,3.21,0,27,0.52,38,0.31,31,0.12,0.08,0.07,0,,0.28
Nicholas Tsaroulla,Notts County,League Two,850,Full Back,26,0,0.12,0.07,1.69,0,13,2,,0.11,0.09,1.16,1.06,0.11,0.21,2.86,2.33,1.27,2.43,0.91,1.8,10.27,3.7,0,2.75,2.96,5.93,1.53,2.44,100,22,8.26,12.81,2.22,0.32,40.22,81,33,5.5,0.57,0.59,44.77,90,6.43,13.76,1.27,1.16,0.11,0.42,3.07,4.23,0,42,0.64,18,0.64,16,-0.01,0.24,0.03,-0.09,,0.18
Ryan Cooney,Crewe Alexandra,League Two,1121,Full Back,25,0.08,0.07,0.1,0.72,11,33,1,100,0.32,0.21,0.88,0.8,0.4,0.28,1.61,0.16,0.16,0.72,1.03,2.99,13.97,7.06,0.06,3.05,3.61,9.31,1.8,2.83,61,47,11.4,8.75,1.36,0.16,26.33,58,33,3.77,0.29,0.45,20.87,94,3.77,6.1,1.61,1.2,0.4,0.08,1.2,2.41,0,40,0.96,46,0.08,41,0.28,0.06,0.04,0.07,,0.45
Sam Austin,Notts County,League Two,759,Full Back,28,0,0.05,0.11,0.47,0,75,1,,0,0.09,0.83,0.83,0,0.14,1.31,0.95,0.24,0.59,1.29,1.7,15.66,8.42,0,2.73,3.32,5.93,1.76,3.05,71,45,14,19.46,2.73,0.36,29.9,78,21,2.49,0.53,0.64,27.88,91,4.27,9.97,0.12,0.12,0,0.36,1.78,1.9,0,100,0.24,13,0.36,13,0.02,0.05,0.04,0.02,,0.13
