Name,Team,Competition,Minutes,Primary Position,Age,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Assists,xG Assisted,Key Passes,Scoring Contribution,Dribbles,Successful Dribbles,Dispossessed,PAdj Interceptions,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Ball Recov. F2,Ball Recoveries,PAdj Tackles,PAdj Tack&Int,Dribbles Stopped%,Aerial Win%,OP Passes,Passing%,xGBuildup,Carries,Carry%,Carry Length,OP F3 Passes,OP Passes Into Box,Touches In Box,PinTin,Throughballs,Successful Crosses,Crossing%,Pass OBV,D&C OBV,DA OBV,Shot OBV,OBV
Isak Pettersson,Elfsborg,Allsvenskan,1718,Goalkeeper,27,0,0,,0,,,0,0,0,0.05,0,0,0,0,0,0,0,0,0,6.92,0,3.2,0,0,,,23.16,61,0.19,19.49,100,4.95,0.52,0,0,0,0,0,,0.16,0.06,,,-0.14
Jacob Widell Zetterström,Djurgården,Allsvenskan,1693,Goalkeeper,26,0,0,,0,,,0,0,0,0,0,0.05,0.05,0,0.04,0.14,0.16,0.05,0,6.17,0,3.45,0,0.04,0,100,17.11,65,0.18,13.02,100,5.23,0.21,0,0,0,0,0,,0.09,0.07,0,,0.2
Tim Rönning,Halmstad,Allsvenskan,1462,Goalkeeper,25,0,0,,0,,,0,0,0,0.06,0,0.06,0.06,0,0,0.02,0.12,0.06,0,7.2,0,3.82,0,0,100,0,15.02,45,0.08,12.01,100,8.31,0.86,0,0,0,0,0,,0.12,0.05,0,,-0.04
Jakob Tånnander,Sirius,Allsvenskan,2165,Goalkeeper,24,0,0,,0,,,0,0.04,0.02,0.08,0.04,0,0,0,0,0,0.04,0,0,7.77,0,3.78,0,0,100,,25.14,75,0.24,20.12,100,4.44,0.54,0,0,0,0.04,0,,0.09,0.09,0,,-0.01
Andreas Linde,Häcken,Allsvenskan,1748,Goalkeeper,31,0,0,,0,,,0,0,0.02,0.05,0,0,0,0,0,0,0,0,0,8.7,0.05,3.76,0,0,,,26.61,86,0.21,20.49,100,3.95,0.31,0,0,0,0.05,0,,0.07,0.06,0,,-0.04
Oscar Jansson,Norrköping,Allsvenskan,1175,Goalkeeper,34,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0.08,0,8.27,0,3.45,0,0,0,,19.22,73,0.06,13.48,100,5.68,0,0,0,0,0,0,,0.06,0.07,0,,-0.2
Jacob Karlström,IFK Göteborg,Allsvenskan,1407,Goalkeeper,27,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78,0,3.58,0,0,100,,26.66,70,0.23,22.83,100,5.48,1.41,0,0,0,0,0,,0.12,0.13,0,,0.14
Elis Bishesari,IFK Göteborg,Allsvenskan,1544,Goalkeeper,19,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0.17,0.06,0,7.93,0,3.91,0,0,33,,27.52,82,0.21,21.51,100,4.38,0.87,0,0,0,0,0,,0.07,0.03,0,,0.13
Johan Dahlin,Malmö FF,Allsvenskan,1983,Goalkeeper,38,0,0,,0,,,0,0,0,0,0,0.05,0.05,0,0,0.05,0.09,0,0,6.22,0,2.72,0,0,,,16.66,73,0.17,13.43,100,4.73,0.14,0,0,0,0,0,,0.06,0.03,0,,0.08
Ricardo Friedrich,Malmö FF,Allsvenskan,973,Goalkeeper,31,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64,0,3.89,0,0,,,19.62,78,0.17,15.73,100,5.17,0.28,0,0,0,0,0,,0.04,0.07,,,-0.01
Viktor Andersson,Värnamo,Allsvenskan,1565,Goalkeeper,20,0,0,,0,,,0,0,0,0.06,0,0,0,0,0,0,0,0,0,7.36,0,4.14,0,0,,,20.7,74,0.08,15.58,100,4.46,0.17,0,0,0,0,0,,0.04,0.07,,,0
Jonathan Rasheed,Värnamo,Allsvenskan,1380,Goalkeeper,33,0,0,,0,,,0,0,0,0,0,0,0,0,0,0.04,0.26,0.07,0,7.44,0.07,3.59,0,0,100,0,18.13,70,0.24,14.61,100,5.47,0.13,0,0,0,0,0,,0.09,0.04,0,,0.27
Johan Brattberg,Västerås SK,Allsvenskan,1496,Goalkeeper,28,0,0,0.03,0.06,0,100,0,0,0,0,0,0.06,0.06,0,0,0,0.06,0.06,0,6.38,0,4.63,0,0,100,100,24.97,69,0.17,21.06,100,5.07,0.54,0,0.18,0.18,0,0,,0.1,0.07,0,0,-0.04
Anton Fagerström,Västerås SK,Allsvenskan,1486,Goalkeeper,33,0,0,,0,,,0,0,0,0,0,0,0,0,0,0.07,0,0.06,0,7.69,0.12,4,0,0,0,,20.42,82,0.33,16.18,100,4,0.12,0,0,0,0,0,,0.04,0.07,0,,0.12
